nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
Perniagaan Herba Sri Tanjung Sdn. Bhd.,No. 23 & 24,"Jalan Mutiara 4, Pusat Perniagaan Benut",Benut,Pontian,Johor,82200,Runcit,2020/12/31 00:00:00.000
Perniagaan Herba Sri Tanjung Sdn. Bhd.,NO. 9,"Jalan Sri Sulong, Taman Sri Sulong Mewah",Parit Sulong,Batu Pahat,Johor,83500,Runcit,2020/12/31 00:00:00.000
PERTANIAN FARMIX (M) SDN. BHD. [FARMASI FARMIX],133,"Jalan Toman 6, Kemayan Square",Seremban,Seremban,Negeri Sembilan,70200,Borong & Runcit,2020/12/31 00:00:00.000
Pharm Biz Sdn Bhd [Farmasi Zain],17-1,Jalan Elektron J U16/J Denai Alam Seksyen U16,Shah Alam,Petaling,Selangor,40160,Runcit,2020/12/31 00:00:00.000
Pharma Care Ventures Sdn Bhd [Friends' Pharmacy],27-G,Jalan Tengku Ampuan Zabedah F 9/F Seksyen 9,Shah Alam,Petaling,Selangor,40100,Runcit,2020/12/31 00:00:00.000
Pharma Line Marketing Sdn Bhd [Putra Pharmacy],46,"Jalan Putra Permai 1B, Putra Permai",Seri Kembangan,Hulu Langat,Selangor,43300,Borong & Runcit,2020/12/31 00:00:00.000
Pharma Plus Pharmacy Sdn Bhd,61,"Jalan Manis 4, Taman Segar, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56100,Borong & Runcit,2020/12/31 00:00:00.000
PHARMA-CONSULT(KULIM) SDN BHD,4,"Pusat Perniagaan Putra, Jalan Kelang Lama",Kulim,Kulim,Kedah,09000,Borong & Runcit,2020/12/31 00:00:00.000
PHARMACARE PHARMACY,JC 38,"Jalan Bmu3, Bandar Baru Merlimau Utara",Merlimau,Jasin,Melaka,77300,Borong & Runcit,2020/12/31 00:00:00.000
PHARMACY 2U HEALTH AND BEAUTY SDN BHD [PHARMACY 2U],"J-2-7, LEVEL 2","Boulevard Business Park, No 115, Jalan Kepayang (Off Jalan Kuching)",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51200,Runcit,2020/12/31 00:00:00.000
Pharmacy Alley Sdn Bhd,5,Jalan Medan 8 Taman Medan Jalan Kalang Lama,Petaling Jaya,Petaling,Selangor,46000,Runcit,2020/12/31 00:00:00.000
Pharmacy Kassim Sdn Bhd [Farmasi Dinar],3-G,"Jalan Musytari AP U5/AP, Subang Pelangi Seksyen U5",Shah Alam,Petaling,Selangor,40150,Borong & Runcit,2020/12/31 00:00:00.000
Pharmacy Medilife [Pharmacy Medilife],"NO3,R-01-12A","Setia Triangle, Persiaran Kelicap",Bayan Lepas,Barat Daya,Pulau Pinang,11900,Borong & Runcit,2020/12/31 00:00:00.000
Pharmacy Plaza Sdn. Bhd.,"Lot F059, Tingkat 1,","Sungei Wang Plaza, Jalan Sultan Ismail",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Pharmahealth Services [Zaith Pharmacy],No 37-G,Jalan SP 1/1 Bandar Saujana Putra,Jenjarom,Kuala Langat,Selangor,42610,Runcit,2020/12/31 00:00:00.000
PHARMAHOUSE SDN BHD [FARMASI PHARMART],"GROUND FLOOR, NO.13","Jalan Tasik Utama 3, Medan Niaga Tasik Damai, Sungai Besi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,57000,Runcit,2020/12/31 00:00:00.000
PHARMALIFE SDN BHD,7,Raminway,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
PHARMALINK PHARMACY (GOPENG) SDN. BHD.,NO.7  ,Jalan Eu Kong,Gopeng,Kampar,Perak,31600,Runcit,2020/12/31 00:00:00.000
PHARMALINK PHARMACY SDN BHD,No.294,Jalan Tok Pangku Hamid,Sungai Siput,Kuala Kangsar,Perak,31100,Runcit,2020/12/31 00:00:00.000
PHARMARA BESTARI SDN BHD [ALSYIFAA FARMASI],No 30 & 31,"Lorong Mutiara 6, Nadi Kota, Bandar Tun Abdul Razak",Jengka,Maran,Pahang,26400,Runcit,2020/12/31 00:00:00.000
Pharmart Sdn Bhd [Farmasi Pharmart Sdn Bhd],P1-18 Shaftsbury Square,Persiaran Multimedia Cyber 6,Cyberjaya,Sepang,Selangor,63000,Runcit,2020/12/31 00:00:00.000
Pharmart Sdn Bhd [Farmasi Pharmart],32-G,Jalan Warisan Megah 1/4 Kota Warisan,Sepang,Sepang,Selangor,43900,Runcit,2020/12/31 00:00:00.000
Pharmart Sdn Bhd [Farmasi Pharmart],"No.17, Ground Floor",Jalan Mutiara 1 Taman Mutiara,Dengkil,Sepang,Selangor,43800,Runcit,2020/12/31 00:00:00.000
PHARMART SDN. BHD. [FARMASI PHARMART],PT 11382,"Jalan Bbn 6/2 B, Taman Desa Cempaka",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
Pharmasave Pharmacy Sdn Bhd,"No. 8, Tingkat Bawah","Jalan Sepadu, Taman United",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Borong & Runcit,2020/12/31 00:00:00.000
Pharmatique Sdn Bhd [Farmasi Alpro],No 29-G,Jalan Vista Valley 3 Semenyih Vista Valley,Semenyih,Hulu Langat,Selangor,43500,Runcit,2020/12/31 00:00:00.000
Pharmatique Sdn Bhd [Farmasi Alpro],B-G-39,Jalan Prima Saujana 2/1A Taman Prima Saujana,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
PharmCare Sdn Bhd,42-G,Jalan Kosas 1/5 Taman Kosas,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
PHARMEDIC PHARMACY SDN BHD,11P,"Jalan Tun Perak, Bachang",Melaka,Melaka Tengah,Melaka,75300,Runcit,2020/12/31 00:00:00.000
Pharmedicare Sdn Bhd [U.n.i Farmasi],A2-G-5A,"Ayer@8, Jalan P8G, Presint 8",Putrajaya,Putrajaya,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,62250,Runcit,2020/12/31 00:00:00.000
PHARMEX PHARMA (SARAWAK) SDN BHD,"Lot 13 & 14, Trinity Hub Commercial Centre",Jalan Datuk Tawi Sli,Kuching,Kuching,Sarawak,93250,Borong & Runcit,2020/12/31 00:00:00.000
PHARMEX SDN BHD,"NO.11, Kampung Air, PO Box 12081",Jalan Haji Yaakub,Kota Kinabalu,Kota Kinabalu,Sabah,88822,Borong & Runcit,2020/12/31 00:00:00.000
Pharmex Sdn. Bhd.,"Ground Floor, Lot 6, Block F, Segama Complex",Jalan Segama,Kota Kinabalu,Kota Kinabalu,Sabah,88822,Borong & Runcit,2020/12/31 00:00:00.000
Pharmex Sdn. Bhd.,"Ground Floor, Shop No. 12,
Lot No. 6, Block A, Asia City, Kota Kinabalu, P.O. Box 12081,",Jalan Kampung Air 5,Kota Kinabalu,Kota Kinabalu,Sabah,88822,Runcit,2020/12/31 00:00:00.000
Pharmfresh Pharmacy Sdn Bhd,76D & 76E,"Lorong Kemuning 1, Taman Kemuning",Kulim,Kulim,Kedah,09000,Runcit,2020/12/31 00:00:00.000
Pharmgain Pharmacy Sdn Bhd [ACare Pharmacy],47,Jalan PU 7/4 Taman Puchong Utama,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
PHARMHOUSE PHARMACY,45,"Jalan Sejambak 14, Taman Bukit Dahlia",Pasir Gudang,Johor Bahru,Johor,81700,Runcit,2020/12/31 00:00:00.000
Pharmocity Sdn. Bhd. [Chemcity Pharmacy],NO. 3,"Jalan Sinar Bakri 1, Pusat Perniagaan Sinar Bakri",Bakri,Muar,Johor,84200,Runcit,2020/12/31 00:00:00.000
Pharmonix Sdn. Bhd. [Farmasi Zuffa Pharmonix Sdn. Bhd.],15,Jalan Petani,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
Pharmony Pharmacy PLT,NO. 219-3A,"Jalan Raya, Happy Garden",Bukit Gambir,Muar,Johor,84800,Runcit,2020/12/31 00:00:00.000
Pharmville Enterprise [Pharmville Pharmacy],Lot GC-01,"Kompleks YJN, No. 1, Jalan Jalil Perwira 2, Bukit Jalil",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
Pillbox Pharmacy Sdn Bhd,"Lot No G31, Skypark Terminal",Lapangan Terbang Sultan Abd Aziz Shah Seksyen U3,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
Pillbox Pharmacy Sdn. Bhd.,"Lot No.L2A36 & L2A37, Level 2 (Airside), Kota Kinabalu International Airport",Jalan Kepayan,Kota Kinabalu,Kota Kinabalu,Sabah,88740,Runcit,2020/12/31 00:00:00.000
PILLBOX PHARMACY SDN. BHD.,"L1L33 Departure Hall (Landside), Langkawi International Airport","Jalan Lapangan Terbang, Padang Matsirat",Langkawi,Langkawi,Kedah,07000,Runcit,2020/12/31 00:00:00.000
Pills & Potions Pharmacy Sdn Bhd,"No. 41,"," Jalan 5/38D, Taman Sri Sinar, Segambut",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51200,Borong & Runcit,2020/12/31 00:00:00.000
Pills & Tabs Pharmacy (Wholly Owned by Tunas Kinabalu Sdn Bhd Co. No. 714849-V [Pills & Tabs Pharmacy],"Lot 5, Servay Hypermarket, Block K, Lrg Grand Plaza 3, Putatan",Jalan Putatan,Putatan,Putatan,Sabah,88200,Runcit,2020/12/31 00:00:00.000
PJ Care Sdn Bhd,9,Jalan SS 25/41 Mayang Industrial Park,Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
Planet Pharmacy Sdn Bhd [M+ Pharmacy],LG 11A,"Bangsar Village, No.1,Jalan Telawi 1, Bangsar Baru",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59100,Borong & Runcit,2020/12/31 00:00:00.000
Planet Pharmacy Sdn. Bhd.,LG 11a,"Bangsar Village, No. 1, Jalan Telawi 1, Bangsar Baru",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59100,Runcit,2020/12/31 00:00:00.000
PLAZA PHARMACY,GF 6A,Li Hua Plaza,Bintulu,Bintulu,Sarawak,97000,Runcit,2020/12/31 00:00:00.000
PLENITUDE HIGHLANDS,"No. 138, Ground Floor","Jalan Taman Komersial Senawang 1, Taman Komersial Senawang",Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
PLENITUDE HIGHLANDS SDN. BHD. [BIG PHARMACY],"Unit 20, Lot 1814 & 1816,","Jalan Haruan 2, Oakland Industrial Park",Seremban,Seremban,Negeri Sembilan,70300,Runcit,2020/12/31 00:00:00.000
PLENITUDE HIGHLANDS SDN. BHD. [BIG PHARMACY],6,Jalan Tuanku Munawir,Seremban,Seremban,Negeri Sembilan,70000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (BETONG) SDN BHD [PMG PHARMACY],"Lot 386, BTD 03",Betong Bazaar,Betong,Betong,Sarawak,95700,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (BINTANGOR)  SDN BHD [PMG PHARMACY],No. 3,Jalan Kelupu,Bintangor,Sarikei,Sarawak,96500,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (BOULEVARD) SDN BHD [PMG PHARMACY],"Lot 2372 & 2373, Ground Floor, Boulevard Commercial Centre",Jalan Pujut Lutong,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (DARO) SDN BHD [PMG PHARMACY],"Lot 135-A, Ground Floor, Daro Town District, 281",Daro New Township,Daro,Mukah,Sarawak,96200,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (KENINGAU) SDN BHD [PMG PHARMACY],"GROUND FLOOR OF A16, LOT 9, BANGUNAN PERSATUAN HAKKA, JALAN ANDULAG,",Jalan OKK Sodomon,Keningau,Keningau,Sabah,89000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (SARATOK) SDN BHD [PMG PHARMACY],"No. 95, Ground Floor",Saratok Bazaar,Saratok,Saratok,Sarawak,95400,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (SIBU) SDN BHD [PMG PHARMACY],"No. 34, Ground Floor",Lorong Permai Barat 1,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (SRI AMAN) SDN BHD [PMG PHARMACY],"Lot 1856, Ground Floor",Jalan Sabu,Sri Aman,Sri Aman,Sarawak,95000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY (TUARAN) SDN BHD [PMG PHARMACY],"Lot No 7, Tuaran Township",Jalan Teo Teck Ong,Tuaran,Tuaran,Sabah,89200,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD,"LOT 11, GROUND FLOOR, BLOCK B, BEAUFORT JAYA",Jalan Beaufort Sipitang,Beaufort,Beaufort,Sabah,89800,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY ],"NO.204, GROUND FLOOR",Jalan Ah Sang,Kuala Krai,Kuala Krai,Kelantan,18000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"No. 42, G/F, Medan Jaya Commercial Centre",Jalan Kidurong / Jalan Sultan Iskandar,Bintulu,Bintulu,Sarawak,97000,Borong & Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Ground Floor Of Sublot 14 Of Parents Lots 45 & 46, Both of Block 8",Matang Land District,Kuching,Kuching,Sarawak,93050,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Survey Lot 11657, Parent Lot 10385, G/F, Blok 5, KBLD",Jln Maigold Off Jln Lutong-Kuala Baram,Miri,Miri,Sarawak,98000,Borong & Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Ground Floor, Survey Lot 1446 Of Parent Lot 911, Block 1, MCLD, Lutong",Jalan Pasar Lutong,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Shop No. 3, On Semi Basement Floor,  Emart One Stop Shopping Mall",Jalan Airport,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Lot 694G, Block C, Lot 6798, Synergy Square",Matang Jaya,Kuching,Kuching,Sarawak,93050,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"G/F, No. 7, Lot 39, Block 233, KNLD, 7th Mile Bazaar",Penrissen Road,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"LOT 3, GROUND FLOOR, BLOCK D, INANAM NEW TOWNSHIP",Jalan Kiansom,Inanam,Kota Kinabalu,Sabah,89000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"No. 73, G/F, Medan Sepadu",Jalan Abang Galau,Bintulu,Bintulu,Sarawak,97000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Lot 10000, Ground Floor, Section 65, KTLD, Petra Jaya",Jalan Astana,Kuching,Kuching,Sarawak,93050,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"LOT 12, G/F BLOK B",Jalan Balai Polis,Sipitang,Sipitang,Sabah,89850,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"LOT 4, GROUND FLOOR, BLOCK A, DONGGONGON NEW TOWNSHIP, PHASE 2,",Jalan Taipakkung Donggongon,Penampang,Penampang,Sabah,89500,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Sublot No. 45, G/F of PL 4290, Block 26, Columbia Commercial Centre",Kemena Land District,Bintulu,Bintulu,Sarawak,97000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"LOT 31 BLOK HS-3 , TINGKAT BAWAH , HARBOUR SQUARE",Jalan Pryer,Sandakan,Sandakan,Sabah,90000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"NO.512, GROUND FLOOR",Jalan Dato' Nik Mustapha,Tanah Merah,Tanah Merah,Kelantan,17500,Borong & Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],PT 182,Jalan Lubok Setol,Rantau Panjang,Pasir Mas,Kelantan,17200,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"LOT B11, GROUND FLOOR, COMPLEX CENTENARY",Jalan Sabar,Kota Belud,Kota Belud,Sabah,89157,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"Lot No 2, Ground Floor, Block D, Ranau Town Centre,",Jalan Persiaran,Ranau,Ranau,Sabah,89308,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"NO 311, G/F, LOT 3, BLK 36, FAJAR COMPLEX",Jalan Haji Sahabudin,Tawau,Tawau,Sabah,91000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"No. 6, Ground Floor",Jalan Merdeka,Sarikei,Sarikei,Sarawak,96100,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"No. 6 & No. 8, Lorong Pahlawan 7B1",Jalan Pahlawan,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
PMG PHARMACY SDN BHD [PMG PHARMACY],"No. 7, G/F, Batu 17, Pasar Siburan",Jalan Kuching/Serian,Kuching,Kuching,Sarawak,94200,Runcit,2020/12/31 00:00:00.000
POKIONG PHARMACY SDN BHD,No. 32,Jalan Kapitan Chua Leong Kee,Kapit,Kapit,Sarawak,96800,Runcit,2020/12/31 00:00:00.000
POLY PHARMACY SDN. BHD.,NO. 915,JLN SULTAN BADLISHAH,Alor Setar,Kota Setar,Kedah,05000,Borong & Runcit,2020/12/31 00:00:00.000
Praise Pharmacy Sdn. Bhd.,"LG 32, Holiday Plaza",Jalan Dato Sulaiman,Johor Bahru,Johor Bahru,Johor,80250,Runcit,2020/12/31 00:00:00.000
PREMIUM PHARMA (M) SDN. BHD. [FARMASI KAISAR],NO. 70,"Jalan Jujur, Bandar Tun Razak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
PRESTON PHARMACY SDN BHD [KH WONG PHARMACY],28E,High Street,Miri,Miri,Sarawak,98000,Borong & Runcit,2020/12/31 00:00:00.000
Primajaya Utara Enterprise [Farmasi Primajaya],"75, Jalan BPJ 1/1, Ground Floor",Bandar Puteri Jaya,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
PRIME PHARMACY,323,Jalan Ong Kim Wee,Melaka,Melaka Tengah,Melaka,75300,Runcit,2020/12/31 00:00:00.000
PRIMECARE PHARMACY SDN BHD,"Ground Floor, Lot 3306, Sublot 93, TT3 Commercial Centre",Jalan Canna,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
PRIMER PHARMACY SDN BHD,NO 39,"Jalan Permai 1, Taman Desa Permai, Sungai Lalang",Bedong,Kuala Muda,Kedah,08100,Runcit,2020/12/31 00:00:00.000
PRIMER PHARMACY SDN BHD [FARMASI PRIMER],NO. 349,"Lebuh Arked, Taman  Arked",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
PRISTINE OCEAN PHARMACY SDN. BHD.,10,"Jalan Jasper Jaya 1, Taman Jasper Jaya",Seremban,Seremban,Negeri Sembilan,70200,Runcit,2020/12/31 00:00:00.000
Pristine Pharma Sdn Bhd [Farmasi Royale Pharma],C-7-G,Persiaran Pekeliling Bangi Gateway Seksyen 15,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Runcit,2020/12/31 00:00:00.000
Prochem Pharmacy,No 25,Jalan Kenari 1 Bandar Puchong Jaya,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
PROLIFE PHARMACY SDN BHD [PROLIFE PHARMACY],"230A, Axis Commercial Hub","Jalan Indah, Taman Tunku Intan Safinaz",Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
PRONATURE PHARMACY (KUCHING) SDN BHD,"Ground Floor, Unit No. G-8, Parcel No. 11429-1-8, Precinct 88",Jalan Song,Kuching,Kuching,Sarawak,93350,Borong & Runcit,2020/12/31 00:00:00.000
Pronature Pharmacy Sdn Bhd [Farmasi Pronature],No 35-01,Jalan Kenari 19A Bandar Puchong Jaya,Puchong,Petaling,Selangor,47170,Runcit,2020/12/31 00:00:00.000
Propharma Pharmacy Sdn Bhd,72,"Jalan Pasir Puteh, Taman Boon Bak",Ipoh,Kinta,Perak,31650,Runcit,2020/12/31 00:00:00.000
PROQ HEALTHCARE SDN BHD [PROQ PHARMACY],"Ground Floor, Lot 11146, Section 64, KTLD, City Square",Jalan Pending
,Kuching,Kuching,Sarawak,93450,Borong & Runcit,2020/12/31 00:00:00.000
PROVIDA SDN BHD [PROVIDA PHARMACY],"166, Ground Floor, Hui Sing Commercial Centre,",Hui Sing Garden,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
PSK WB SDN BHD [Well-Being],NO 219A,"Jalan  Psk 6, Pekan Simpang Kuala",Alor Setar,Kota Setar,Kedah,05400,Runcit,2020/12/31 00:00:00.000
PT BUMI SAKTI PHARMA,NO 10,"Jalan Perjiranan 9/12, Taman Air Biru",Pasir Gudang,Johor Bahru,Johor,81700,Runcit,2020/12/31 00:00:00.000
PUBLIC CHEMIST (SABAH) SDN BHD,"NO. 9, GROUND FLOOR, KAMPUNG AIR, P.O.BOX 14041 ",Jalan  Tugu,Kota Kinabalu,Kota Kinabalu,Sabah,88846,Borong & Runcit,2020/12/31 00:00:00.000
PUBLIC CHEMIST (SABAH) SDN BHD,"NO. 5, GROUND FLOOR, KAMPUNG AIR",Jalan Perpaduan,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
Public Chemist (Sabah) Sdn Bhd [City Pharmacy],"LOT A,NO 58,GROUND FLOOR",Jalan Pantai,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
PUBLIC PHARMACY SDN. BHD. [Farmasi Public Sdn. Bhd.],7,"Lorong Tekukur Indah 2, Taman Tekukur Indah",Nibong Tebal,Seberang Perai Selatan,Pulau Pinang,14300,Runcit,2020/12/31 00:00:00.000
PUBLIX PHARMACY,"MDLD 4643, KEDAI TAMAN TABANAK,",Jalan Segama,Lahad Datu,Lahad Datu,Sabah,91100,Runcit,2020/12/31 00:00:00.000
PUBLIX PHARMACY [FARMASI PUBLIX],5GF,"Jalan Machang Bubok, Taman Machang Bubok",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14020,Borong & Runcit,2020/12/31 00:00:00.000
Publixcare Enterprise [Farmasi Tropika],No 3A-G,"Jalan Villa Tropika1, Taman Villa Tropika",Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Puchong Healthcare Sdn Bhd [AA Pharmacy],No. 14G,Jalan Kenari 1 Bandar Puchong Jaya,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Pudu Healthcare Sdn Bhd [AA Pharmacy],103,Jalan Sultan,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50000,Runcit,2020/12/31 00:00:00.000
Pulse Pharmacy,"Lot No. 4, Tingkat Bawah, Blok B, Kedai Grand Plaza",Jalan Putatan,Putatan,Putatan,Sabah,88200,Runcit,2020/12/31 00:00:00.000
Pure Health Pharmacy Sdn Bhd [Georgetown Pharmacy],2381,"Jalan Rozhan, Taman Impian",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy,"29-1-7,",Jalan Paya Terubong,Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn Bhd,"98-G-13, Prima Tanjung Business Centre",Jalan Fettes,Tanjong Bungah,Timur Laut,Pulau Pinang,11200,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn Bhd,"298, Ground Floor",Jalan Jelutong,Jelutong,Timur Laut,Pulau Pinang,11600,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn Bhd,139-P,Jalan Tan Sri Teh Ewe Lim,Georgetown,Timur Laut,Pulau Pinang,11600,Runcit,2020/12/31 00:00:00.000
PURE PHARMACY SDN BHD,"Lot 1-04 & 1-10, Ground Floor, Wisma Central, No.41",Jalan Macalister,Georgetown,Timur Laut,Pulau Pinang,10400,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn Bhd [Farmasi Pure Pharmacy Sdn Bhd],88,Jalan Penang,Georgetown,Timur Laut,Pulau Pinang,10000,Borong & Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn Bhd [Pure Pharmacy Sdn Bhd],1,"Jalan Mayang Pasir, Sunshine Square Bayan Baru Supermarket",Bayan Baru,Barat Daya,Pulau Pinang,11950,Runcit,2020/12/31 00:00:00.000
PURE PHARMACY SDN BHD [PURE PHARMACY],88,Jalan Penang,Georgetown,Timur Laut,Pulau Pinang,10000,Borong & Runcit,2020/12/31 00:00:00.000
PURE PHARMACY SDN BHD [PURE PHARMACY],Tingkat Bawah,"Kompleks Pernas Sogo, 190, Jalan Tuanku Abdul Rahman",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50100,Runcit,2020/12/31 00:00:00.000
Pure Pharmacy Sdn. Bhd [Pure Pharmacy],"Unit No-G93,Pertama Shopping Complex",Jalan Tuanku Abdul Rahman,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50100,Runcit,2020/12/31 00:00:00.000
Pusat Rawatan Pakar Dr Mahmud [Klinik Rawatan Dr Mahmud],No 44,Lorong Haji Taib 1,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50350,Runcit,2020/12/31 00:00:00.000
Putatan Pharmacy,"Blok C, Lot 5, Tingkat Bawah,
Kedai Putatan Commercial Centre,",Jalan Putatan,Putatan,Putatan,Sabah,88200,Runcit,2020/12/31 00:00:00.000
Pythagore Sdn Bhd,"1-05-06, E-Gate",Lebuh Tengku Kudin 2,Jelutong,Timur Laut,Pulau Pinang,11700,Runcit,2020/12/31 00:00:00.000
Q-Pharma Sdn Bhd [Farmasi Q-Pharma],No 1 Lobi Utama Aras 2 Hospital Serdang,Jalan Puchong,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Q-Pharma Sdn Bhd [Farmasi Q-Pharma],"Bangunan Kompleks Rawatan Ibu & Bayi (KRIBA), Hospital Tengku Ampuan Rahimah",Jalan Langat,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
